Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
2017.06.11,11/06/2017,2017,Unprovoked,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,N,08h30,"White shark, 4 m"
2017.06.10.b,10/06/2017,2017,Unprovoked,Victoria,"Flinders, Mornington Penisula",Surfing,F,unknown,N,15h45,7 gill shark
2017.05.27,27/05/2017,2017,unknown,New South Wales,Evans Head,Fishing ,M,73,N,unknown,unknown
2017.05.06.R,6/05/2017,2017,Provoked,Queensland,Weipa,Attempting to lasso a shark,M,29,N,unknown,9' shark
2017.04.17.a,17/04/2017,2017,Unprovoked,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,Y,16h00,White shark
2017.04.02.b,2/04/2017,2017,Unprovoked,Queensland,Moreton Bay,Kakaying,M,39,N,Afternoon,unknown
2017.03.19,19/03/2017,2017,Unprovoked,New South Wales,The Farm,Body boarding,M,30,N,18h30,unknown
2017.02.25,25/02/2017,2017,Unprovoked,Western Australia,Mauds Point,Snorkeling,F,unknown,N,Morning,"Bull shark, 1.5"
2017.02.24,24/02/2017,2017,Unprovoked,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,unknown,N,Morning,unknown
2017.02.17,17/02/2017,2017,Unprovoked,Queensland,Eva Rock,Spearfishing,M,26,N,10h20,unknown
2017.01.21,21/01/2017,2017,Unprovoked,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,N,12h00,"Bull shark, 4 m"
2017.01.13.b,13/01/2017,2017,Unprovoked,Queensland,Clairview,Swimming,M,57,N,13h30,unknown
2017.01.08.R,8/01/2017,2017,unknown,Queensland,unknown,Spearfishing,M,35,unknown,unknown,Bull shark
2017.01.03,3/01/2017,2017,unknown,New South Wales,Merimbula,Wading,M,20,N,18h00,unknown
2016.12.24,24/12/2016,2016,Unprovoked,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,unknown,N,Morning,a small shark
2016.12.14,14/12/2016,2016,Unprovoked,Western Australia,Trigg Beach,Free diving,M,61,N,09h30,unknown
2016.12.06,6/12/2016,2016,Provoked,New South Wales,Merimbula,Surf fishing,M,20,N,02h00,"Wobbegong shark, 2m"
2016.12.01,1/12/2016,2016,Unprovoked,New South Wales,Booti Booti National Park,Surfing,M,65,N,09h00,White shark
2016.11.28,28/11/2016,2016,Provoked,Victoria,Queenscliff,Fishing,M,73,N,11h00,"Broadnose sevengill shark, 1.5 m"
2016.10.24,24/10/2016,2016,Unprovoked,New South Wales,Broken Head Beach,Surfing,M,36,N,07h30,unknown
2016.10.15,15/10/2016,2016,Unprovoked,Queensland,"Kings Beach, Caloundra",Surfing,M,unknown,N,18h00,unknown
2016.10.12,12/10/2016,2016,Unprovoked,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,N,10h30,unknown
2016.09.26,26/09/2016,2016,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,N,9h00,"White shark, 3.5 m"
2016.09.17.a,17/09/2016,2016,Unprovoked,Victoria,Thirteenth Beach,Surfing,M,unknown,N,unknown,unknown
2016.09.15,16/09/2016,2016,Unprovoked,Victoria,Bells Beach,Surfing,M,unknown,N,unknown,2 m shark
2016.09.15.R,15/09/2016,2016,Boat,Western Australia,Bunbury,Fishing,unknown,unknown,N,unknown,unknown
2016.09.05.a,5/09/2016,2016,Unprovoked,Western Australia,Injidup ,Surfing,M,unknown,N,Late afternoon,unknown
2016.07.28,28/07/2016,2016,Boat,Western Australia,Near Albany,Kayaking,M,unknown,N,unknown,White shark
2016.07.26,26/07/2016,2016,Unprovoked,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,N,12h00,unknown
2016.07.23.b,23/07/2016,2016,Unprovoked,Tasmania,Clifton Beach,Surfing,M,36,N,unknown,unknown
2016.07.20,20/07/2016,2016,Provoked,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,N,After noon,"reef shark, 1m"
2016.07.04,4/07/2016,2016,Provoked,Queensland,Palm Cove ,Fishing,M,34,N,22h00,Tawny nurse shark
2016.06.15.a,15/06/2016,2016,Provoked,Western Australia,Coral Bay,Spearfishing,M,19,N,unknown,5' shark
2016.06.05.a,5/06/2016,2016,Unprovoked,Western Australia,Mindarie,Diving,F,60,Y,11h30,3+ m shark
2016.06.02.b,2/06/2016,2016,Unprovoked,New South Wales,Kingscliff,Spearfishing,M,unknown,unknown,unknown,Bronze whaler sharks x 3
2016.05.31,31/05/2016,2016,Unprovoked,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,Y,16h00,White shark
