,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
0,2017.06.11,2017,6,8.0,Morning,Unprovoked,Body boarding,Western Australia,"Point Casuarina, Bunbury",M,48,N,"White shark, 4 m",white
1,2017.06.10.b,2017,6,15.0,Late afternoon,Unprovoked,Surfing,Victoria,"Flinders, Mornington Penisula",F,unknown,N,7 gill shark,gill
2,2017.05.27,2017,5,,,unknown,Fishing ,New South Wales,Evans Head,M,73,N,unknown,
3,2017.05.06.R,2017,5,,,Provoked,Attempting to lasso a shark,Queensland,Weipa,M,29,N,9' shark,
4,2017.04.17.a,2017,4,16.0,Late afternoon,Unprovoked,Surfing,Western Australia,Kelpies near Wylie Bay,F,17,Y,White shark,white
5,2017.04.02.b,2017,4,14.0,Afternoon,Unprovoked,Kakaying,Queensland,Moreton Bay,M,39,N,unknown,
6,2017.03.19,2017,3,18.0,Nightfall,Unprovoked,Body boarding,New South Wales,The Farm,M,30,N,unknown,
7,2017.02.25,2017,2,8.0,Morning,Unprovoked,Snorkeling,Western Australia,Mauds Point,F,unknown,N,"Bull shark, 1.5",bull
8,2017.02.24,2017,2,8.0,Morning,Unprovoked,Surfing,Western Australia,"Falcon Bay Beach, Mandurah",M,unknown,N,unknown,
9,2017.02.17,2017,2,10.0,Morning,Unprovoked,Spearfishing,Queensland,Eva Rock,M,26,N,unknown,
10,2017.01.21,2017,1,12.0,Midday,Unprovoked,Scuba Diving,Queensland,"Boot Reef, Torres Strait",M,55,N,"Bull shark, 4 m",bull
11,2017.01.13.b,2017,1,13.0,Afternoon,Unprovoked,Swimming,Queensland,Clairview,M,57,N,unknown,
12,2017.01.08.R,2017,1,,,unknown,Spearfishing,Queensland,unknown,M,35,unknown,Bull shark,bull
13,2017.01.03,2017,1,18.0,Nightfall,unknown,Wading,New South Wales,Merimbula,M,20,N,unknown,
14,2016.12.24,2016,12,8.0,Morning,Unprovoked,Snorkeling,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",F,unknown,N,a small shark,small
15,2016.12.14,2016,12,9.0,Morning,Unprovoked,Free diving,Western Australia,Trigg Beach,M,61,N,unknown,
16,2016.12.06,2016,12,2.0,Midnight,Provoked,Surf fishing,New South Wales,Merimbula,M,20,N,"Wobbegong shark, 2m",wobbegong
17,2016.12.01,2016,12,9.0,Morning,Unprovoked,Surfing,New South Wales,Booti Booti National Park,M,65,N,White shark,white
18,2016.11.28,2016,11,11.0,Midday,Provoked,Fishing,Victoria,Queenscliff,M,73,N,"Broadnose sevengill shark, 1.5 m",sevengill
19,2016.10.24,2016,10,7.0,Early morning,Unprovoked,Surfing,New South Wales,Broken Head Beach,M,36,N,unknown,
20,2016.10.15,2016,10,18.0,Nightfall,Unprovoked,Surfing,Queensland,"Kings Beach, Caloundra",M,unknown,N,unknown,
21,2016.10.12,2016,10,10.0,Morning,Unprovoked,Surfing,New South Wales,"Sharpes Beach, Ballina",M,25,N,unknown,
22,2016.09.26,2016,9,9.0,Morning,Unprovoked,Surfing,New South Wales,"Lighthouse Beach, Ballina",M,17,N,"White shark, 3.5 m",white
23,2016.09.17.a,2016,9,,,Unprovoked,Surfing,Victoria,Thirteenth Beach,M,unknown,N,unknown,
24,2016.09.15,2016,9,,,Unprovoked,Surfing,Victoria,Bells Beach,M,unknown,N,2 m shark,
25,2016.09.15.R,2016,9,,,Boat,Fishing,Western Australia,Bunbury,unknown,unknown,N,unknown,
26,2016.09.05.a,2016,9,16.0,Late afternoon,Unprovoked,Surfing,Western Australia,Injidup ,M,unknown,N,unknown,
27,2016.07.28,2016,7,,,Boat,Kayaking,Western Australia,Near Albany,M,unknown,N,White shark,white
28,2016.07.26,2016,7,12.0,Midday,Unprovoked,Surfing,New South Wales,"Sharpes Beach, Ballina",M,18,N,unknown,
29,2016.07.23.b,2016,7,,,Unprovoked,Surfing,Tasmania,Clifton Beach,M,36,N,unknown,
30,2016.07.20,2016,7,14.0,Afternoon,Provoked,Fishing,Queensland,"20 k off The Spit, off the Gold Coast",M,31,N,"reef shark, 1m",reef
31,2016.07.04,2016,7,22.0,Late night,Provoked,Fishing,Queensland,Palm Cove ,M,34,N,Tawny nurse shark,nurse
32,2016.06.15.a,2016,6,,,Provoked,Spearfishing,Western Australia,Coral Bay,M,19,N,5' shark,
33,2016.06.05.a,2016,6,11.0,Midday,Unprovoked,Diving,Western Australia,Mindarie,F,60,Y,3+ m shark,
34,2016.06.02.b,2016,6,,,Unprovoked,Spearfishing,New South Wales,Kingscliff,M,unknown,unknown,Bronze whaler sharks x 3,whaler
35,2016.05.31,2016,5,16.0,Late afternoon,Unprovoked,Surfing,Western Australia,"Falcon Beach, Mandurah",M,29,Y,White shark,white
